ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
741,Cherry Pickup,33.9%,Hard,0.1470689942408949, https://leetcode.com/problems/cherry-pickup,Not Done
42,Trapping Rain Water,48.9%,Hard,0.103462050225593, https://leetcode.com/problems/trapping-rain-water,Not Done
380,Insert Delete GetRandom O(1),47.5%,Medium,0.059855106210291, https://leetcode.com/problems/insert-delete-getrandom-o1,Not Done
269,Alien Dictionary,33.3%,Hard,0.0499791705746588, https://leetcode.com/problems/alien-dictionary,Not Done
10,Regular Expression Matching,26.8%,Hard,0.0284413055977219, https://leetcode.com/problems/regular-expression-matching,Not Done
2,Add Two Numbers,33.9%,Medium,0.0266815894586611, https://leetcode.com/problems/add-two-numbers,Not Done
84,Largest Rectangle in Histogram,35.2%,Hard,0.0186611262216629, https://leetcode.com/problems/largest-rectangle-in-histogram,Not Done
123,Best Time to Buy and Sell Stock III,37.5%,Hard,0.011261380272539, https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii,Not Done
994,Rotting Oranges,49.2%,Medium,0.0076307123411638, https://leetcode.com/problems/rotting-oranges,Not Done
155,Min Stack,44.5%,Easy,0.0047489107412817, https://leetcode.com/problems/min-stack,Not Done
967,Numbers With Same Consecutive Differences,39.4%,Medium,0.0, https://leetcode.com/problems/numbers-with-same-consecutive-differences,Not Done
982,Triples with Bitwise AND Equal To Zero,55.6%,Hard,0.0, https://leetcode.com/problems/triples-with-bitwise-and-equal-to-zero,Not Done
1423,Maximum Points You Can Obtain from Cards,42.6%,Medium,0.0, https://leetcode.com/problems/maximum-points-you-can-obtain-from-cards,Not Done
