ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
1130,Minimum Cost Tree From Leaf Values,66.1%,Medium,1.583844915245196, https://leetcode.com/problems/minimum-cost-tree-from-leaf-values,Not Done
255,Verify Preorder Sequence in Binary Search Tree,45.7%,Medium,1.0184692951799177, https://leetcode.com/problems/verify-preorder-sequence-in-binary-search-tree,Not Done
1163,Last Substring in Lexicographical Order,33.9%,Hard,0.9532793012434956, https://leetcode.com/problems/last-substring-in-lexicographical-order,Not Done
317,Shortest Distance from All Buildings,41.4%,Hard,0.3879036811782171, https://leetcode.com/problems/shortest-distance-from-all-buildings,Not Done
25,Reverse Nodes in k-Group,42.1%,Hard,0.2284157463636081, https://leetcode.com/problems/reverse-nodes-in-k-group,Not Done
500,Keyboard Row,64.7%,Easy,0.1929036661244915, https://leetcode.com/problems/keyboard-row,Not Done
526,Beautiful Arrangement,57.8%,Medium,0.1735109271117997, https://leetcode.com/problems/beautiful-arrangement,Not Done
206,Reverse Linked List,62.5%,Easy,0.1237841890166319, https://leetcode.com/problems/reverse-linked-list,Not Done
741,Cherry Pickup,33.9%,Hard,0.1229376862450479, https://leetcode.com/problems/cherry-pickup,Not Done
259,3Sum Smaller,47.6%,Medium,0.1081485037772375, https://leetcode.com/problems/3sum-smaller,Not Done
697,Degree of an Array,53.8%,Easy,0.0711762784678949, https://leetcode.com/problems/degree-of-an-array,Not Done
115,Distinct Subsequences,38.3%,Hard,0.0614947816078062, https://leetcode.com/problems/distinct-subsequences,Not Done
1319,Number of Operations to Make Network Connected,53.1%,Medium,0.0458796057506936, https://leetcode.com/problems/number-of-operations-to-make-network-connected,Not Done
232,Implement Queue using Stacks,49.6%,Easy,0.0442305372273395, https://leetcode.com/problems/implement-queue-using-stacks,Not Done
63,Unique Paths II,34.6%,Medium,0.0344045972994037, https://leetcode.com/problems/unique-paths-ii,Not Done
62,Unique Paths,54.1%,Medium,0.0285374918611558, https://leetcode.com/problems/unique-paths,Not Done
338,Counting Bits,69.5%,Medium,0.0243255237674409, https://leetcode.com/problems/counting-bits,Not Done
49,Group Anagrams,56.9%,Medium,0.0235415768218774, https://leetcode.com/problems/group-anagrams,Not Done
225,Implement Stack using Queues,45.1%,Easy,0.0164409786334575, https://leetcode.com/problems/implement-stack-using-queues,Not Done
647,Palindromic Substrings,60.6%,Medium,0.010400509768078, https://leetcode.com/problems/palindromic-substrings,Not Done
15,3Sum,26.8%,Medium,0.0049409927587425, https://leetcode.com/problems/3sum,Not Done
200,Number of Islands,46.8%,Medium,0.0028897578265903, https://leetcode.com/problems/number-of-islands,Not Done
20,Valid Parentheses,39.0%,Easy,0.0023005704055949, https://leetcode.com/problems/valid-parentheses,Not Done
1,Two Sum,45.6%,Easy,0.0018454351235873, https://leetcode.com/problems/two-sum,Not Done
