ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
121,Best Time to Buy and Sell Stock,50.5%,Easy,0.030310791643238, https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Not Done
1,Two Sum,45.6%,Easy,0.0203159920917565, https://leetcode.com/problems/two-sum,Not Done
146,LRU Cache,33.2%,Medium,0.0103211925402749, https://leetcode.com/problems/lru-cache,Not Done
53,Maximum Subarray,46.5%,Easy,0.0086402956796029, https://leetcode.com/problems/maximum-subarray,Not Done
41,First Missing Positive,32.0%,Hard,0.0064113058208121, https://leetcode.com/problems/first-missing-positive,Not Done
160,Intersection of Two Linked Lists,40.6%,Easy,0.0049013699397204, https://leetcode.com/problems/intersection-of-two-linked-lists,Not Done
155,Min Stack,44.5%,Easy,0.0047489107412817, https://leetcode.com/problems/min-stack,Not Done
17,Letter Combinations of a Phone Number,46.8%,Medium,0.0044018999217624, https://leetcode.com/problems/letter-combinations-of-a-phone-number,Not Done
242,Valid Anagram,56.9%,Easy,0.0041541237431159, https://leetcode.com/problems/valid-anagram,Not Done
20,Valid Parentheses,39.0%,Easy,0.0023005704055949, https://leetcode.com/problems/valid-parentheses,Not Done
50,Pow(x;n),30.3%,Medium,0.0014016892647828, https://leetcode.com/problems/powx-n,Not Done
