ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
1212,Team Scores in Football Tournament,55.8%,Medium,1.1574169741354223, https://leetcode.com/problems/team-scores-in-football-tournament,Not Done
840,Magic Squares In Grid,37.3%,Easy,0.7861804130990654, https://leetcode.com/problems/magic-squares-in-grid,Not Done
1194,Tournament Winners,52.9%,Hard,0.4149438520627081, https://leetcode.com/problems/tournament-winners,Not Done
811,Subdomain Visit Count,69.9%,Easy,0.3543466541791412, https://leetcode.com/problems/subdomain-visit-count,Not Done
1204,Last Person to Fit in the Elevator,69.8%,Medium,0.3042113744029915, https://leetcode.com/problems/last-person-to-fit-in-the-elevator,Not Done
1189,Maximum Number of Balloons,61.2%,Easy,0.1187457102154797, https://leetcode.com/problems/maximum-number-of-balloons,Not Done
759,Employee Free Time,66.3%,Hard,0.1014382428454883, https://leetcode.com/problems/employee-free-time,Not Done
1014,Best Sightseeing Pair,52.5%,Medium,0.0903548750399561, https://leetcode.com/problems/best-sightseeing-pair,Not Done
443,String Compression,41.3%,Easy,0.0523337200490236, https://leetcode.com/problems/string-compression,Not Done
85,Maximal Rectangle,37.7%,Hard,0.0501358124243554, https://leetcode.com/problems/maximal-rectangle,Not Done
5,Longest Palindromic Substring,29.5%,Medium,0.0342774413537641, https://leetcode.com/problems/longest-palindromic-substring,Not Done
412,Fizz Buzz,62.3%,Easy,0.0271525250309554, https://leetcode.com/problems/fizz-buzz,Not Done
718,Maximum Length of Repeated Subarray,49.4%,Medium,0.0269921920143562, https://leetcode.com/problems/maximum-length-of-repeated-subarray,Not Done
125,Valid Palindrome,36.7%,Easy,0.0235039493249732, https://leetcode.com/problems/valid-palindrome,Not Done
184,Department Highest Salary,36.7%,Medium,0.0180185055026783, https://leetcode.com/problems/department-highest-salary,Not Done
56,Merge Intervals,39.3%,Medium,0.0131862797400906, https://leetcode.com/problems/merge-intervals,Not Done
69,Sqrt(x),33.9%,Easy,0.0109490144896704, https://leetcode.com/problems/sqrtx,Not Done
53,Maximum Subarray,46.5%,Easy,0.0082726287412289, https://leetcode.com/problems/maximum-subarray,Not Done
41,First Missing Positive,32.0%,Hard,0.0061633477076686, https://leetcode.com/problems/first-missing-positive,Not Done
210,Course Schedule II,40.7%,Medium,0.0018850146957713, https://leetcode.com/problems/course-schedule-ii,Not Done
1244,Design A Leaderboard,60.7%,Medium,0.0, https://leetcode.com/problems/design-a-leaderboard,Not Done
1405,Longest Happy String,49.0%,Medium,0.0, https://leetcode.com/problems/longest-happy-string,Not Done
1193,Monthly Transactions I,68.3%,Medium,0.0, https://leetcode.com/problems/monthly-transactions-i,Not Done
